N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00033,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0032583570900739786
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00026999999999999995,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0021467981230449728
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.003054774217081656
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.0076230000000000004,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026173215298677496
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.006237,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0027855687116149002
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.00011,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.00292046044846831
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,9e-05,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0025752940854202634
500,500,matrix_conceptor,757.1488133762316,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0031005950273111926
500,500,matrix_conceptor,504.7658755841544,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002577542373892804
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026723560486246944
500,500,matrix_conceptor,403.8127004673235,477.7286046641968,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026696584688171232
500,500,matrix_conceptor,403.8127004673235,318.4857364427979,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.00289270092894719
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,1510.710494153001,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002494391399491437
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,1007.140329435334,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0023497729356297273
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0031274988005945553
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1200.0,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0024057061100094196
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,800.0,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026740036495369905
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,960.0,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.00262702271363833
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1152.0,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002512036073652261
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1382.4,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0024743489146344475
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1658.88,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002464983890676653
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0025154723216023003
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.011,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002605997761995135
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.009000000000000001,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002848297534025165
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.25,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002501857479551373
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.15,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0022521034210690877
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0025233363512179837
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.65,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026383998818489017
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.5499999999999999,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026677733338419073
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00024299999999999994,0.00693,0.45,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002592162610755997
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00024299999999999994,0.00693,0.35000000000000003,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026960187467811587
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00026729999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0024665367601273192
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.00228899707877648
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0030034320364587127
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.0076230000000000004,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002717689214822773
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.0001,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.006237,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0026380512778363284
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,0.00011,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0023830333380998638
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,9e-05,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.00267283597859812
500,500,matrix_conceptor,403.8127004673235,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0027617302362426166
500,500,matrix_conceptor,484.5752405607882,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.0028900153665909903
500,500,matrix_conceptor,323.05016037385883,398.1071705534973,805.7122635482672,1990.6560000000002,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002573273300783839
500,500,matrix_conceptor,403.8127004673235,477.7286046641968,805.7122635482672,1990.6560000000002,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00019682999999999994,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,3,5,0.002692164926412277
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00033,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002712678362242174
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00026999999999999995,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002884146632341958
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00029699999999999996,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0026798656177766667
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00032669999999999997,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0023556699585918365
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00035936999999999997,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002277856694706474
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00039530699999999996,0.00693,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0028500699881286386
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00039530699999999996,0.0076230000000000004,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0026031341424278738
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00039530699999999996,0.006237,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002529624075312118
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00039530699999999996,0.0056133,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0025254664615604926
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002863648398377952
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.00011,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0026705716026250016
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,9e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002648000513480211
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002717921217408417
500,500,matrix_conceptor,757.1488133762316,398.1071705534973,1258.9254117941675,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002602774058309709
500,500,matrix_conceptor,504.7658755841544,398.1071705534973,1258.9254117941675,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0025559775096819174
500,500,matrix_conceptor,630.957344480193,477.7286046641968,1258.9254117941675,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0023297568366470105
500,500,matrix_conceptor,630.957344480193,318.4857364427979,1258.9254117941675,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0027524386121387497
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1510.710494153001,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0025319980903384153
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1007.140329435334,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002862730597001205
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1208.5683953224009,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0023373230904404976
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002346523610561144
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1200.0,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0027190647174026067
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,800.0,3000,500,8.1e-05,0.01,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002759970829899468
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.011,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002453144179381287
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.009000000000000001,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0022890100688548057
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002712273649336271
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.25,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0026488789068844333
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.15,0.6,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0026744914572678705
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.65,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002984409773393027
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.5499999999999999,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002167013763383502
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002787324397155897
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.00505197,0.45,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002505720238692978
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.00505197,0.35000000000000003,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0031061930316004416
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.00505197,0.4,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002777491819321055
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.00505197,0.45,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0025428971391524948
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.00505197,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0027316550796910497
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00043483769999999995,0.00505197,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0026717219609735795
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00035577629999999997,0.00505197,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002785096330189063
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.005557167,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.00248612837366571
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.0045467730000000005,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.0029885619085300167
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.005001450300000001,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002947541159500867
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.005501595330000001,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002435980745063143
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.1e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.006051754863000001,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.003031966785950067
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1450.282074386881,1000,3000,500,8.91e-05,0.008100000000000001,1.2,0.49999999999999994,0.00039530699999999996,0.006051754863000001,0.5,../res/matrix_conceptor_500_tuesday.csv,5,5,0.002561368704659459
